OPERACAO,CONTROLE,DOCUMENTO,CLIENTE,DATA,HORA,VENDEDOR,USUARIO,TOTAL,DESCONTO,FRETE,VALPAGO,FORMAPGTO
0,0,0,0,,,0,0,0.00,0.00,0.00,0.00,0
1,10022830,0,0,2008-08-22,08:02,1,1,17.00,0.00,0.00,17.00,3
1,10022831,0,0,2008-08-22,08:50,1,1,1.50,0.00,0.00,1.50,3
1,10022832,0,0,2008-08-22,09:43,1,1,10.00,0.00,0.00,10.00,3
1,10023306,0,0,2008-09-15,11:22,1,1,72.00,0.00,0.00,72.00,3
1,10023741,0,0,2008-10-07,14:06,1,1,69.10,0.00,0.00,69.10,3
1,10023873,0,0,2008-10-13,14:37,1,1,181.80,0.00,0.00,181.80,3
1,10024827,0,0,2008-12-01,09:18,1,1,244.00,0.00,0.00,244.00,3
1,10025101,0,0,2008-12-15,07:59,1,1,397.00,0.00,0.00,397.00,3
1,10025229,0,0,2008-12-19,17:42,1,1,41.50,0.00,0.00,41.50,3
1,10025250,0,0,2008-12-21,09:03,1,1,130.30,0.00,0.00,130.30,3
1,10025614,0,0,2009-01-13,17:54,1,1,8.00,0.00,0.00,8.00,3
1,10026557,0,0,2009-02-27,13:28,1,1,3.50,0.00,0.00,3.50,3
1,10026922,0,0,2009-03-14,12:48,1,1,1110.00,0.00,0.00,1110.00,3
1,10028739,0,0,2009-06-13,08:58,1,1,35.92,0.00,0.00,35.92,3
1,10028740,0,0,2009-06-13,09:22,1,1,22.50,0.00,0.00,22.50,3
1,10028741,0,0,2009-06-13,09:23,1,1,39.50,0.00,0.00,39.50,3
1,10029340,0,0,2009-07-13,15:35,1,1,32.00,0.00,0.00,32.00,3
1,10029341,0,0,2009-07-13,15:56,1,1,32.00,0.00,0.00,32.00,3
1,10029342,0,0,2009-07-13,16:01,1,1,15.00,0.00,0.00,15.00,3
1,10029980,0,0,2009-08-11,09:32,1,1,3.00,0.00,0.00,3.00,3
1,10029981,0,0,2009-08-11,09:39,1,1,179.20,0.00,0.00,179.20,3
1,10030444,0,0,2009-09-01,08:22,1,1,31.70,0.00,0.00,31.70,3
1,10030445,0,0,2009-09-01,08:31,1,1,54.00,0.00,0.00,54.00,3
1,10033165,0,0,2010-01-14,14:38,1,1,119.00,0.00,0.00,119.00,3
1,10033600,0,0,2010-02-06,09:42,1,1,8.40,0.00,0.00,8.40,3
1,10033601,0,0,2010-02-06,09:42,1,1,8.40,0.00,0.00,8.40,3
1,10033873,0,0,2010-02-20,12:29,1,1,39.80,2.00,0.00,37.80,3
1,10035050,0,0,2010-04-22,11:30,1,1,107.40,0.00,0.00,107.40,3
1,10035059,0,0,2010-04-22,13:45,1,1,39.50,0.00,0.00,39.50,3
1,10035060,0,0,2010-04-22,13:46,1,1,2.30,0.00,0.00,2.30,3
1,10035833,0,0,2010-05-25,14:24,1,1,0.00,0.00,0.00,0.00,3
1,10035840,0,0,2010-05-25,15:47,1,1,15.00,0.00,0.00,15.00,3
1,10035843,0,0,2010-05-25,17:27,1,1,2.20,0.00,0.00,2.20,3
1,10036256,0,0,2010-07-14,07:48,1,1,230.00,0.00,0.00,230.00,3
3,10036881,0,0,2009-11-16,10:03,0,1,29.40,0.00,,29.40,0
3,10036883,0,0,2011-04-14,11:21,0,1,9.00,0.00,,9.00,0
3,10036885,0,0,2012-03-30,10:19,0,1,30.00,0.00,,30.00,0
3,10036887,0,0,2012-08-30,13:40,0,1,60.00,0.00,,60.00,0
3,10036889,0,0,2013-01-22,14:51,0,1,700.00,0.00,,700.00,0
3,10036891,0,0,2013-05-02,12:34,0,1,9.00,0.00,,9.00,0
1,10036893,0,0,2014-12-26,14:54,1,1,22.20,0.00,,22.20,3
3,10036895,0,0,2019-11-07,12:27,0,1,20.60,0.00,,20.60,0
1,10036897,0,0,2020-11-21,11:21,1,1,4.00,0.00,,4.00,3
